Class,AU01,AU02,AU05,AU06,AU09,AU10,AU11,AU12,AU15,AU24,AU25,AU26,anger,disgust,fear,happiness,sadness,surprise,neutral
Non Suicidal,0.291175456,0.395397553,0.408938384,0.626933596,0.494307453,0.512645707,0.493579442,0.729912361,0.640278811,0.473699872,0.401123602,0.387885129,0.029954015,0.012169578,0.028743017,0.866281646,0.078616635,0.257467537,0.632667634
Suicidal,0.453264035,0.417035974,0.577836799,0.285516901,0.318937636,0.519189707,0.472625329,0.774412532,0.269997894,0.276821735,0.553418717,0.129358198,0.888788982,0.061194221,0.336442669,0.084326592,0.361861824,0.877233162,0.659847721
Non Suicidal,0.490846174,0.513348212,0.47580716,0.739617704,0.383506294,0.527153674,0.472944831,0.613825954,0.100713066,0.442386159,0.406621891,0.63530422,0.0487204,0.023320955,0.062120676,0.26198267,0.012627546,0.008070191,0.550872769
Suicidal,0.747574831,0.404220607,0.53463956,0.125269294,0.366085,0.266172492,0.487860359,0.59404336,0.131785015,0.447032056,0.430148112,0.296907177,0.330180047,0.066832579,0.767189893,0.069702906,0.586362943,0.825971677,0.20556342
Non Suicidal,0.462455818,0.579470708,0.518481827,0.768422502,0.454449569,0.345891461,0.510038104,0.639774807,0.440590316,0.515714276,0.935477024,0.23251371,0.077947209,0.028897064,0.082491285,0.765103804,0.011822862,0.394131994,0.630284003
Non Suicidal,0.539759669,0.545245131,0.324682332,0.437134155,0.299730402,0.630011102,0.510389475,0.6367466,0.679880987,0.568170478,0.948624002,0.256605101,0.070849342,0.010582516,0.001829721,0.47435338,0.00379202,0.063291209,0.725533596
Non Suicidal,0.368823976,0.430240863,0.728145126,0.661790445,0.345782138,0.596648521,0.492302404,0.731181387,0.174803995,0.590483859,0.50508149,0.454129585,0.018889671,0.02910323,0.060053109,0.686045072,0.020173811,0.318944329,0.585336273
Non Suicidal,0.45800178,0.479206169,0.526824574,0.753449782,0.306158012,0.839678329,0.48080777,0.580975025,0.369873797,0.59797086,0.892692969,0.574046605,0.005042534,0.010897937,0.038053097,0.326413722,0.016672941,0.293571181,0.322724717
Suicidal,0.7528663,0.5054702,0.47398385,0.2648815,0.28177977,0.002922351,0.4874461,0.26240382,0.21220365,0.5731187,0.33533254,0.2791909,0.22671914,0.009734875,0.23681669,0.004116302,0.03086458,0.45150873,0.040239703
Non Suicidal,0.217901459,0.519155439,0.543457236,0.781519089,0.520846878,0.74199695,0.480758482,0.587045339,0.378043298,0.465043883,0.62614646,0.20676192,0.075559502,0.020549776,0.015485949,0.386849948,0.066256782,0.256702621,0.743929987
